t,context,y,nll,nll0,overconfident_memory_nll,memory_only_nll,fixed_half_nll,cumulative_nll,cumulative_nll0,no_harm_slack,accuracy,base_accuracy,ece,brier,base_brier,w_lambda_0,w_lambda_0.05,w_lambda_0.1,w_lambda_0.2,w_lambda_0.4,w_lambda_0.7,w_lambda_1
358,12,3,1.015023967218251,3.6409683687078287,0.980829253012493,1.0150239659610267,1.6382987100766278,899.778357913186,1412.933330610833,-515.1008828467023,0.3770949720670391,0.06983240223463687,0.05256580507647682,0.4865070055161124,0.9724981499075835,1.97028456974219e-224,8.811861314612196e-180,9.359968149802754e-149,1.8724323371089123e-105,2.072101427769527e-52,3.260475695785809e-09,0.9999999967395243
359,12,3,0.9942947203604884,3.6409683687078287,0.9604619501880506,0.9942947194516829,1.618954982429333,900.7726526335465,1416.5742989795408,-517.7475564950496,0.3788300835654596,0.06963788300835655,0.054174300619614306,0.47499245469260565,0.9724981499075835,1.3966680400715668e-225,1.034003936704336e-180,1.5331436297738912e-149,4.806707801238076e-106,9.169711257230709e-53,2.3516702148682072e-09,0.9999999976483298
360,12,3,0.9744595970960488,3.6409683687078287,0.9409833444652758,0.9744595964395761,1.6004207419312217,901.7471122306425,1420.2152673482485,-520.4140652666613,0.38055555555555554,0.06944444444444445,0.05575327132763473,0.4638819044683095,0.9724981499075835,9.706063982197222e-227,1.1996482866120886e-181,2.4920480206415934e-150,1.2285730697211556e-106,4.050230782042023e-53,1.6951975410176113e-09,0.9999999983048025
361,12,3,0.9554583063584218,3.6409683687078287,0.9223330463308586,0.9554583058845394,1.582643223894439,902.702570537001,1423.8562357169562,-523.0995753290106,0.38227146814404434,0.06925207756232687,0.057303440041109335,0.45315667379414515,0.9724981499075835,6.618216174754685e-228,1.3769213401041106e-182,4.021362200448808e-151,3.127321995767797e-107,1.785794721413499e-53,1.2213151075109364e-09,0.9999999987786848
362,12,3,0.9372361266176751,3.6409683687078287,0.9044562742278847,0.9372361262758127,1.56557436635941,903.6398066636186,1427.497204085664,-525.8033075711006,0.3839779005524862,0.06906077348066299,0.058825505193999,0.44279914903899104,0.9724981499075835,4.4312367649253025e-229,1.5642844705972349e-183,6.444620494007281e-152,7.929766575044564e-108,7.860587840767162e-54,8.79452577511137e-10,0.9999999991205474
363,12,2,6.514599855380557,3.1358753370458077,27.631021115928547,6.5145998628559045,3.7954998255671097,910.1544065189992,1430.6330794227097,-522.4245830527658,0.38292011019283745,0.06887052341597796,0.05756532095747908,1.227072159643956,0.9380286314650039,1.2998294413280793e-227,4.366960781106067e-182,1.7078244181453496e-150,1.8767114087314782e-106,1.4149058007611777e-52,8.354799423900778e-09,0.9999999916452006
364,12,58,6.587261296739884,3.1972372875271264,27.631021115928547,6.5872613685911565,3.8572322607701715,916.7416678157391,1433.8303167102367,-519.0345590435529,0.38186813186813184,0.06868131868131869,0.05632436546031552,1.2222987128084717,0.9432020706890876,3.856160398869928e-226,1.2329385052774096e-180,4.576969111768471e-149,4.491595648837131e-105,2.5751283723590866e-51,8.02060687065392e-08,0.9999999197939313
365,12,3,0.9422161313647336,3.6409683687078287,0.9105600571658771,0.9422161089220187,1.5702411073666516,917.6838839471038,1437.4712850789444,-521.7333112808959,0.3835616438356164,0.0684931506849315,0.057841934017175974,0.44070841008893114,0.9724981499075835,2.594788028644457e-227,1.404624595998585e-181,7.348803652691284e-150,1.1401086485709851e-105,1.134018711304943e-51,5.776335534640128e-08,0.9999999422366447
366,12,23,1.508033561712969,3.0478814226073285,1.481604540924893,1.5080335480995388,2.006919305989687,919.1919175088168,1440.5191665015518,-523.2731591417903,0.3825136612021858,0.07103825136612021,0.05660064727560747,0.7813241325714428,0.9300332899620583,5.563581529436481e-228,3.563434758885719e-182,2.1529962688569748e-150,4.235856817411196e-106,5.994969927281898e-52,4.414992605684194e-08,0.999999955850074
367,12,23,1.4705091208755487,3.0478814226073285,1.4441139320093885,1.4705091103658845,1.9759185546693432,920.6624266296924,1443.5670479241592,-524.8505314435221,0.3814713896457766,0.07356948228882834,0.05537786739447907,0.7644311371871015,0.9300332899620583,1.1489744468145038e-228,8.77286273544466e-183,6.15467024112217e-151,1.5469926968789688e-106,3.1408260998892274e-52,3.3640262315255875e-08,0.9999999663597376
368,12,3,0.946897371147762,3.6409683687078287,0.9162907318748383,0.9468973617379598,1.574626572990787,921.6093240008402,1447.208016292867,-527.544602441082,0.38315217391304346,0.07336956521739131,0.056890582970356825,0.4483747107247157,0.9724981499075835,7.767659897670522e-230,1.002079373397985e-183,9.89945738399776e-152,3.9306629080395734e-107,1.383732078555058e-52,2.423046041662305e-08,0.9999999757695396
369,12,11,2.3427146443923723,4.596843965826653,2.313634929181223,2.3427146378862385,2.936048254150488,923.9520386452325,1451.8048602586935,-529.7987317625162,0.3821138211382114,0.07317073170731707,0.05566742678773067,1.03566066823961,1.0047847989612881,8.153316028033736e-231,1.5002796705855645e-184,1.925131696066195e-152,1.1161978811470132e-107,6.406388101292471e-53,1.7724326719443767e-08,0.9999999822756733
370,12,3,0.9408347335462801,3.6409683687078287,0.9108706644054845,0.9408347285862861,1.5689467626096893,924.8928733787787,1455.4458286274012,-532.4988653976777,0.3837837837837838,0.07297297297297298,0.05716480698221456,0.44453141276414904,0.9724981499075835,5.478745639950719e-232,1.7078689570658406e-185,3.089391273734077e-153,2.832432789337114e-108,2.8208474922900287e-53,1.2764332753126818e-08,0.9999999872356673
371,12,23,1.466854861394174,3.0478814226073285,1.4415570397955828,1.4668548583528054,1.972888847004774,926.3597282401729,1458.4937100500085,-534.0798919588909,0.38274932614555257,0.07547169811320754,0.05594157859786243,0.7673248809974889,0.9300332899620583,1.1273273065331988e-232,4.192401104547001e-186,8.810554182617062e-154,1.0327361776132406e-108,1.4765959132916901e-53,9.722964087213393e-09,0.9999999902770359
